imagePath,label
dataset/train/images/233882.png,0
dataset/train/images/254929.png,0
dataset/train/images/134065.png,1
dataset/train/images/223580.png,0
dataset/train/images/52572.png,1
dataset/train/images/481800.png,1
dataset/train/images/233219.png,0
dataset/train/images/250873.png,0
dataset/train/images/459172.png,0
dataset/train/images/227280.png,0
dataset/train/images/91366.png,1
dataset/train/images/3402.png,1
dataset/train/images/1205.png,1
dataset/train/images/149932.png,1
dataset/train/images/201188.png,0
dataset/train/images/2561.png,1
dataset/train/images/221073.png,0
dataset/train/images/26547.png,1
dataset/train/images/196908.png,0
dataset/train/images/100255.png,1
dataset/train/images/217633.png,0
dataset/train/images/477986.png,1
dataset/train/images/30151.png,1
dataset/train/images/497957.png,1
dataset/train/images/459299.png,0
dataset/train/images/199498.png,0
dataset/train/images/514050.png,1
dataset/train/images/12191.png,1
dataset/train/images/29552.png,1
dataset/train/images/35084.png,1
dataset/train/images/479605.png,1
dataset/train/images/455141.png,0
dataset/train/images/254973.png,0
dataset/train/images/16462.png,1
dataset/train/images/30489.png,1
dataset/train/images/31527.png,1
dataset/train/images/172238.png,1
dataset/train/images/17614.png,1
dataset/train/images/32318.png,1
dataset/train/images/462644.png,0
dataset/train/images/233202.png,0
dataset/train/images/3413.png,1
dataset/train/images/102032.png,1
dataset/train/images/455510.png,0
dataset/train/images/246508.png,0
dataset/train/images/36145.png,1
dataset/train/images/219462.png,0
dataset/train/images/20443.png,1
dataset/train/images/237616.png,0
dataset/train/images/197414.png,0
dataset/train/images/58733.png,1
dataset/train/images/456731.png,0
dataset/train/images/665.png,1
dataset/train/images/463948.png,0
dataset/train/images/248943.png,0
dataset/train/images/244440.png,0
dataset/train/images/59059.png,1
dataset/train/images/193855.png,0
dataset/train/images/17339.png,1
dataset/train/images/19957.png,1
dataset/train/images/297471.png,1
dataset/train/images/206941.png,0
dataset/train/images/56684.png,1
dataset/train/images/220883.png,0
dataset/train/images/4437.png,1
dataset/train/images/204156.png,0
dataset/train/images/230808.png,0
dataset/train/images/204072.png,0
dataset/train/images/189129.png,0
dataset/train/images/185682.png,0
dataset/train/images/464768.png,0
dataset/train/images/229475.png,0
dataset/train/images/216635.png,0
dataset/train/images/40895.png,1
dataset/train/images/15653.png,1
dataset/train/images/205357.png,0
dataset/train/images/501518.png,1
dataset/train/images/64067.png,1
dataset/train/images/9337.png,1
dataset/train/images/23661.png,1
dataset/train/images/29697.png,1
dataset/train/images/40973.png,1
dataset/train/images/211744.png,0
dataset/train/images/205109.png,0
dataset/train/images/12740.png,1
dataset/train/images/212330.png,0
dataset/train/images/227019.png,0
dataset/train/images/59960.png,1
dataset/train/images/256517.png,0
dataset/train/images/231924.png,0
dataset/train/images/230419.png,0
dataset/train/images/215391.png,0
dataset/train/images/176968.png,1
dataset/train/images/234944.png,0
dataset/train/images/193810.png,0
dataset/train/images/203535.png,0
dataset/train/images/32961.png,1
dataset/train/images/246502.png,0
dataset/train/images/316520.png,1
dataset/train/images/236926.png,0
dataset/train/images/215125.png,0
dataset/train/images/455835.png,0
dataset/train/images/61950.png,1
dataset/train/images/234700.png,0
dataset/train/images/254064.png,0
dataset/train/images/475006.png,1
dataset/train/images/13948.png,1
dataset/train/images/208672.png,0
dataset/train/images/33011.png,1
dataset/train/images/505965.png,1
dataset/train/images/242733.png,0
dataset/train/images/234982.png,0
dataset/train/images/62055.png,1
dataset/train/images/192195.png,0
dataset/train/images/43495.png,1
dataset/train/images/92446.png,1
dataset/train/images/37171.png,1
dataset/train/images/207374.png,0
dataset/train/images/464259.png,0
dataset/train/images/210398.png,0
dataset/train/images/35722.png,1
dataset/train/images/241647.png,0
dataset/train/images/184642.png,0
dataset/train/images/32685.png,1
dataset/train/images/217256.png,0
dataset/train/images/511081.png,1
dataset/train/images/198365.png,0
dataset/train/images/225675.png,0
dataset/train/images/221557.png,0
dataset/train/images/78664.png,1
dataset/train/images/84462.png,1
dataset/train/images/191397.png,0
dataset/train/images/203150.png,0
dataset/train/images/240262.png,0
dataset/train/images/392832.png,1
dataset/train/images/220067.png,0
dataset/train/images/232959.png,0
dataset/train/images/222342.png,0
dataset/train/images/314124.png,1
dataset/train/images/2017.png,1
dataset/train/images/463592.png,0
dataset/train/images/234451.png,0
dataset/train/images/476970.png,1
dataset/train/images/196684.png,0
dataset/train/images/238638.png,0
dataset/train/images/202530.png,0
dataset/train/images/195943.png,0
dataset/train/images/221733.png,0
dataset/train/images/465548.png,0
dataset/train/images/111631.png,1
dataset/train/images/235556.png,0
dataset/train/images/27951.png,1
dataset/train/images/229340.png,0
dataset/train/images/461118.png,0
dataset/train/images/201647.png,0
dataset/train/images/211955.png,0
dataset/train/images/14912.png,1
dataset/train/images/20231.png,1
dataset/train/images/189752.png,0
dataset/train/images/662.png,1
dataset/train/images/245670.png,0
dataset/train/images/187265.png,0
dataset/train/images/211163.png,0
dataset/train/images/496843.png,1
dataset/train/images/217437.png,0
dataset/train/images/226270.png,0
dataset/train/images/246653.png,0
dataset/train/images/465209.png,0
dataset/train/images/312664.png,1
dataset/train/images/25815.png,1
dataset/train/images/211764.png,0
dataset/train/images/248198.png,0
dataset/train/images/41187.png,1
dataset/train/images/239507.png,0
dataset/train/images/465568.png,0
dataset/train/images/513353.png,1
dataset/train/images/257102.png,0
dataset/train/images/481842.png,1
dataset/train/images/210292.png,0
dataset/train/images/220417.png,0
dataset/train/images/458930.png,0
dataset/train/images/23658.png,1
dataset/train/images/509662.png,1
dataset/train/images/227918.png,0
dataset/train/images/498249.png,1
dataset/train/images/16528.png,1
dataset/train/images/242050.png,0
dataset/train/images/249579.png,0
dataset/train/images/19651.png,1
dataset/train/images/203977.png,0
dataset/train/images/499475.png,1
dataset/train/images/192155.png,0
dataset/train/images/311912.png,1
dataset/train/images/454700.png,0
dataset/train/images/235613.png,0
dataset/train/images/204902.png,0
dataset/train/images/255386.png,0
dataset/train/images/75813.png,1
dataset/train/images/421032.png,1
dataset/train/images/230843.png,0
dataset/train/images/244207.png,0
